chrom	gene	segreg_c	pri_der_fix_c	score_c	segreg_g	pri_der_fix_g	score_g	score_tot
2R	AGAP002824	718	27	22.4878156879	1425	8	0.175525770201	22.663341458100998
X	AGAP001031	8	3	19.4087613815	6	1	2.09907152242	21.50783290392
2R	AGAP002315	7397	1	10.5938072425	8914	1	8.93098534023	19.52479258273
X	AGAP000010	20	1	0.500038771492	13	3	18.9906009206	19.490639692092
X	AGAP001038	3	2	15.7601344299	4	1	2.86178431341	18.62191874331
X	AGAP000937	3	2	15.7601344299	5	1	2.41943519614	18.17956962604
2R	AGAP001824	2124	42	12.7853298091	3408	33	4.77995575283	17.56528556193
2L	AGAP006656	6914	6	7.85600077332	9486	1	9.50085385827	17.35685463159
X	AGAP000996	23	3	8.02992110265	57	4	9.19702847788	17.22694958053
X	AGAP001030	11	1	0.903123764863	16	3	15.9545353964	16.857659161263
X	AGAP000837	109	2	0.460956171689	108	7	16.1248571114	16.585813283089
X	AGAP001032	27	4	12.9906961438	30	2	3.48322959745	16.47392574125
X	AGAP001070	113	7	10.2658089135	132	5	6.1653067463	16.4311156598
X	AGAP000986	35	1	0.242617747716	54	5	15.7882551395	16.030872887216
X	AGAP001045	18	2	3.92894610704	8	2	11.2561193716	15.18506547864
X	AGAP000952	31	2	2.3137289553	21	3	12.572694786	14.8864237413
X	AGAP001039	21	1	0.47370385054	18	3	14.4098662788	14.883570129339999
2R	AGAP004637	60	4	5.90044322015	66	4	7.91737439488	13.81781761503
2L	AGAP005182	17	3	10.5472260406	32	2	3.26967081483	13.81689685543
X	AGAP000934	12	2	5.65082988055	12	2	8.05518059524	13.706010475789999
X	AGAP001082	53	5	10.9766735443	45	2	2.31444428622	13.291117830520001
X	AGAP001025	28	4	12.5628285775	23	1	0.638458505618	13.201287083118
X	AGAP001047	6	1	1.51201216176	23	3	11.5818719823	13.093884144059999
X	AGAP001018	14	2	4.93630609862	12	2	8.05518059524	12.99148669386
2R	AGAP004657	13	2	5.27018673042	13	2	7.51905533928	12.7892420697
3R	AGAP007735	10	2	6.59880983049	17	2	5.93224848319	12.53105831368
2R	AGAP003479	134	8	11.3796724617	270	3	0.607707919146	11.987380380846
2R	AGAP013294	469	16	11.7128937856	960	3	0.156138763929	11.869032549529
X	AGAP000994	17	3	10.5472260406	28	1	0.518536319805	11.065762360405
2R	AGAP004333	118	7	9.78175796925	194	3	1.07397209836	10.85573006761
X	AGAP000982	36	3	5.2126244492	54	3	5.06727386462	10.279898313819999
X	AGAP000969	252	10	8.85009894109	425	5	1.19926732121	10.0493662623
X	AGAP013021	148	6	5.29539045429	168	5	4.64314731682	9.93853777111
3R	AGAP007766	37	4	9.6461071569	47	1	0.269723317428	9.915830474327999
X	AGAP013136	18	2	3.92894610704	17	2	5.93224848319	9.86119459023
X	AGAP000935	19	2	3.73586655072	17	2	5.93224848319	9.66811503391
X	AGAP001068	21	1	0.47370385054	30	3	9.05319616452	9.526900015059999
2L	AGAP006748	36	1	0.231912301458	32	3	8.51496272704	8.746875028498
X	AGAP013147	24	1	0.40579697696	12	2	8.05518059524	8.4609775722
2R	AGAP002942	3116	2	4.03441118436	4419	1	4.40955542827	8.44396661263
X	AGAP001015	301	9	5.45367997668	428	7	2.95616005753	8.40984003421
2R	AGAP003914	3431	6	3.01407750288	5618	2	5.20471561546	8.218793118339999
X	AGAP013093	6	1	1.51201216176	15	2	6.633699309	8.14571147076
X	AGAP000978	18	1	0.559895064437	13	2	7.51905533928	8.078950403717
X	AGAP000962	517	7	1.07445264675	447	10	6.70832028695	7.7827729337000005
X	AGAP000943	126	4	2.47941990068	151	5	5.2746098237	7.75402972438
2R	AGAP003459	52	1	0.10759646187	69	4	7.56042706794	7.66802352981
X	AGAP000995	10	2	6.59880983049	14	1	1.0266455545	7.6254553849899995
2R	AGAP002677	3646	6	3.30888347027	4656	2	4.23392666826	7.542810138529999
X	AGAP000932	153	4	1.90570373393	146	5	5.48733379968	7.39303753361
2R	AGAP002232	237	6	2.82409720035	322	7	4.46213218074	7.28622938109
2R	AGAP003935	28	3	6.67021805877	40	1	0.338269552435	7.008487611205
2R	AGAP002741	2540	1	3.60565943189	3306	1	3.26725609485	6.87291552674
X	AGAP001027	66	2	0.979550707123	88	4	5.83654934053	6.816100047653
X	AGAP000945	71	3	2.50747242304	65	3	4.17153299099	6.67900541403
2R	AGAP003997	1266	23	6.14584386439	1765	11	0.436455663824	6.5822995282139996
X	AGAP000998	691	14	4.64688856686	1029	10	1.6068344917	6.25372305856
X	AGAP000898	155	5	3.24782982732	156	4	3.0036487377	6.251478565019999
2R	AGAP004275	32	3	5.85923232645	51	1	0.237612983163	6.096845309613
2R	AGAP004154	2316	1	3.27499813492	2848	1	2.79165671043	6.0666548453499995
2R	AGAP004039	914	18	5.63864048641	1270	8	0.340495480595	5.979135967005
X	AGAP013526	10	1	0.983661404433	21	2	4.89005235844	5.873713762873
X	AGAP001094	31	2	2.3137289553	30	2	3.48322959745	5.79695855275
2R	AGAP002591	2264	2	2.79157579331	3435	2	2.9919006108	5.78347640411
X	AGAP001093	53	2	1.28477071546	62	3	4.38621487347	5.67098558893
X	AGAP001084	82	2	0.72808342489	103	4	4.90492666883	5.63301009372
2L	AGAP005245	2463	4	2.34428121192	3102	1	3.05591698805	5.400198199969999
2L	AGAP005799	2415	2	3.01292594613	2283	1	2.19826765231	5.21119359844
2R	AGAP001674	672	14	4.87445124082	1186	5	0.0272966440197	4.9017478848397005
2R	AGAP004169	2448	3	2.679019395	3023	3	2.19546437636	4.8744837713599996
2R	AGAP002250	2106	3	2.18581314038	2611	1	2.54378789296	4.72960103334
X	AGAP000990	55	3	3.34558261961	84	2	1.14422427821	4.48980689782
2R	AGAP004228	2366	4	2.20760865724	2722	2	2.25932855455	4.46693721179
2R	AGAP002829	81	4	4.24035916715	191	1	0.156191248219	4.396550415369
3R	AGAP009726	1441	2	1.57383026997	2868	1	2.81251386717	4.38634413714
2R	AGAP002828	174	6	4.31777645897	374	1	0.049841486475	4.367617945445
X	AGAP001004	40	2	1.76780374702	41	2	2.5486653818	4.31646912882
2R	AGAP002573	1889	4	1.53934258138	2670	1	2.60562173387	4.14496431525
2R	AGAP004050	2204	3	2.32718347731	2642	3	1.81155823806	4.13874171537
2R	AGAP013085	52	3	3.55590444386	59	1	0.184244765448	3.740149209308
2R	AGAP002845	71	3	2.50747242304	81	2	1.19663144474	3.70410386778
2R	AGAP004280	1772	3	1.70403976094	2072	1	1.97415994093	3.6781997018699997
X	AGAP001044	7	1	1.33406991227	6	1	2.09907152242	3.43314143469
2R	AGAP004348	101	4	3.27262750432	243	2	0.155386077414	3.428013581734
2R	AGAP003255	22	2	3.25099796324	62	1	0.167141862634	3.4181398258740003
2R	AGAP002790	2027	7	0.893285447726	2948	2	2.49225620058	3.385541648306
2L	AGAP005964	1436	1	1.95513223851	1490	1	1.34574675468	3.30087899319
2R	AGAP003982	47	2	1.47724751021	60	2	1.6974413124	3.1746888226100003
2R	AGAP004369	1210	1	1.60784856533	1671	1	1.54311648106	3.15096504639
2R	AGAP004052	1767	4	1.37001267274	2551	3	1.71989784037	3.08991051311
2R	AGAP003335	992	12	1.35195360649	1695	1	1.56913954684	2.92109315333
2R	AGAP002116	1645	3	1.5210396091	2170	3	1.33665248527	2.85769209437
2R	AGAP002877	42	2	1.67576065496	83	2	1.16130255819	2.83706321315
X	AGAP001022	89	3	1.9077445891	99	2	0.926773089805	2.8345176789049997
3R	AGAP007759	83	2	0.715349732498	206	4	2.08568636904	2.801036101538
X	AGAP000938	145	3	0.963286796694	133	3	1.81823159089	2.7815183875839997
X	AGAP000941	87	3	1.9627527677	111	2	0.792433178081	2.755185945781
X	AGAP013495	150	3	0.912164075611	132	3	1.8359203983	2.748084473911
2R	AGAP002104	1169	3	0.839270558842	1970	1	1.86521414183	2.704484700672
2R	AGAP001825	26	1	0.367830533294	45	2	2.31444428622	2.6822748195140003
2R	AGAP003805	51	2	1.34430819052	77	2	1.27238344816	2.61669163868
3R	AGAP007743	71	3	2.50747242304	165	1	0.109121495853	2.616593918893
2R	AGAP003933	46	2	1.51378231448	88	2	1.07952221596	2.59330453044
2L	AGAP005091	1255	1	1.6773928709	1041	1	0.845221141313	2.5226140122130003
2R	AGAP002914	596	10	2.37789892296	927	3	0.126609657707	2.504508580667
2R	AGAP002858	1684	7	0.500455386214	2833	3	2.00400432952	2.504459715734
2L	AGAP005165	2608	10	0.89001479711	3669	7	1.55665332327	2.44666812038
2R	AGAP002186	2628	9	1.13129232545	3619	8	1.25305797325	2.3843502987000003
2R	AGAP004092	515	8	1.64458913247	1184	2	0.651249100546	2.295838233016
X	AGAP000997	8	1	1.19330261155	14	1	1.0266455545	2.21994816605
2R	AGAP004303	82	3	2.11136728644	161	1	0.101632941461	2.2130002279010004
2L	AGAP005072	145	4	2.05402605042	166	1	0.110982460666	2.165008511086
2R	AGAP003893	948	2	0.83287865595	1468	1	1.32161210684	2.15449076279
2R	AGAP003519	286	6	2.11576859416	586	3	0.0298510683991	2.1456196625591
2R	AGAP013145	3291	22	0.0267180085548	5217	10	2.10018210792	2.1269001164747996
2R	AGAP003735	668	9	1.35284301827	923	1	0.710177401266	2.063020419536
2R	AGAP002924	1230	4	0.641615895223	1521	1	1.3796984659	2.0213143611230002
2R	AGAP004344	397	7	1.83791750365	687	2	0.1302654572	1.9681829608499999
2R	AGAP012951	92	3	1.82949305418	136	1	0.0530191540273	1.8825122082073
2R	AGAP001660	896	2	0.754262978351	1233	1	1.0615020199	1.815764998251
2R	AGAP002915	2191	21	1.04244842271	3022	8	0.766442567542	1.8088909902519998
X	AGAP000984	79	1	0.00529795268778	59	2	1.72947363857	1.7347715912577801
X	AGAP001052	338	5	0.928554460582	374	4	0.785254071196	1.713808531778
2R	AGAP004078	150	1	0.196970831805	258	4	1.50256173618	1.6995325679850002
2L	AGAP005170	984	6	0.0258847472706	1766	1	1.6459403803	1.6718251275706
X	AGAP000904	301	2	0.12265450013	371	5	1.52607713757	1.6487316376999999
2R	AGAP003901	775	2	0.57124748528	1245	1	1.07489675452	1.6461442398000001
X	AGAP001009	9	1	1.07882575184	27	1	0.53949144379	1.61831719563
2R	AGAP002711	752	1	0.884279521917	930	1	0.718240118932	1.6025196408490001
2R	AGAP003115	905	2	0.76787295185	995	1	0.792790429569	1.560663381419
2R	AGAP001690	819	10	1.17147537418	1739	5	0.386036853775	1.557512227955
2R	AGAP003967	508	7	1.11818325239	689	1	0.436195187309	1.554378439699
2R	AGAP002822	110	3	1.44577666869	155	1	0.0902607029646	1.5360373716546
2R	AGAP002325	984	2	0.887270418803	1140	2	0.604733154982	1.492003573785
2R	AGAP004616	11	1	0.903123764863	25	1	0.585614886872	1.4887386517349999
X	AGAP000931	16	1	0.631976577173	18	1	0.813056624266	1.4450332014390002
2R	AGAP004453	1539	6	0.546645737326	2273	5	0.846554105385	1.393199842711
2R	AGAP004494	1480	6	0.478775635193	2026	4	0.88994347306	1.368719108253
2R	AGAP001962	745	1	0.872926710632	677	1	0.421880784248	1.2948074948800001
2R	AGAP004642	146	1	0.187269149716	200	3	1.02459146626	1.211860615976
2R	AGAP001826	839	9	0.733843118056	1256	3	0.432403278239	1.166246396295
2R	AGAP003568	563	1	0.57318708719	818	1	0.588366513158	1.161553600348
2R	AGAP002832	494	6	0.70801069114	990	2	0.4463253508	1.1543360419400002
2R	AGAP003331	241	4	0.917487796488	395	3	0.229584270364	1.147072066852
X	AGAP000973	90	2	0.63354978139	151	2	0.490065399882	1.1236151812719999
2R	AGAP002578	624	1	0.674716717811	982	2	0.437891889007	1.112608606818
2R	AGAP004311	69	2	0.92425183207	187	1	0.149116018632	1.073367850702
X	AGAP000953	22	1	0.44936987475	24	1	0.611101154169	1.060471028919
2R	AGAP003931	749	6	0.121054103801	1123	1	0.938067931868	1.0591220356689999
2R	AGAP003857	115	2	0.41749014	129	2	0.634822576902	1.052312716902
X	AGAP000847	842	9	0.725638307493	1128	3	0.310876997852	1.036515305345
2R	AGAP001683	4358	37	0.943438594028	6707	32	0.0925781119469	1.0360167059749
2R	AGAP004119	569	1	0.58322736801	699	1	0.448102002091	1.031329370101
2R	AGAP002907	65	2	0.999024912594	121	1	0.0220722653015	1.0210971778955
2R	AGAP004361	148	3	0.93221102827	287	2	0.0678797404464	1.0000907687164
2R	AGAP004244	624	7	0.662058596163	859	2	0.308616867164	0.970675463327
2R	AGAP013315	587	2	0.288084495632	890	1	0.672073201187	0.960157696819
2R	AGAP004353	471	1	0.417600555334	751	1	0.509708159584	0.9273087149179999
2R	AGAP004335	1113	5	0.267682520874	1481	3	0.650780968547	0.918463489421
2R	AGAP002825	155	3	0.86424696805	299	1	0.0503200786511	0.9145670467011
2R	AGAP004096	510	5	0.298205744342	824	1	0.595373417274	0.8935791616159999
2R	AGAP001684	106	2	0.484392924828	169	2	0.397916556146	0.882309480974
2R	AGAP004033	573	7	0.836669677143	579	3	0.0229000342834	0.8595697114264
2R	AGAP004068	182	2	0.11713224645	248	3	0.713791685709	0.830923932159
3R	AGAP010307	65	1	0.0441304144016	117	2	0.734901134733	0.7790315491346
2R	AGAP003355	462	1	0.402202672567	624	1	0.358304638942	0.760507311509
2R	AGAP001685	82	2	0.72808342489	103	1	0.0180297434691	0.7461131683591
2R	AGAP002817	399	1	0.293433984038	702	1	0.451670217514	0.745104201552
2R	AGAP003986	903	7	0.110911868627	1141	2	0.605790245244	0.716702113871
2L	AGAP005926	189	3	0.604291228753	165	1	0.109121495853	0.713412724606
2R	AGAP004117	940	9	0.493260284949	1507	5	0.201749437699	0.695009722648
2L	AGAP004915	396	5	0.648556400289	525	2	0.0338710534216	0.6824274537106
2L	AGAP004940	556	2	0.241832512499	632	1	0.367938997656	0.6097715101550001
2R	AGAP004106	2509	18	0.133931592198	3116	10	0.450906880257	0.584838472455
X	AGAP001073	114	2	0.424439864332	192	1	0.1579513929	0.582391257232
2R	AGAP003992	97	2	0.562703496138	119	1	0.0178266589414	0.5805301550794
2R	AGAP003806	154	2	0.212772561244	186	2	0.326251752735	0.5390243139790001
2R	AGAP002896	517	3	0.0360060033342	745	1	0.502625529425	0.5386315327592001
2R	AGAP013186	43	1	0.168452387781	38	1	0.361623064064	0.530075451845
2R	AGAP002560	214	3	0.465212586254	377	2	0.0553209117036	0.5205334979576001
2R	AGAP001658	225	3	0.41379051776	405	1	0.0888598738642	0.5026503916242
2R	AGAP004034	147	1	0.189703366951	191	2	0.307448943836	0.49715231078700006
X	AGAP000929	162	1	0.186273345906	193	2	0.300183277927	0.48645662383300003
2L	AGAP005711	353	1	0.212859507954	545	1	0.262401032896	0.47526054084999997
2R	AGAP003925	287	1	0.0954821997952	640	1	0.377559643183	0.4730418429782
2R	AGAP004251	804	3	0.331411644376	1165	4	0.124372826089	0.45578447046500004
3R	AGAP007767	29	1	0.319082455688	69	1	0.131948418058	0.451030873746
2R	AGAP003906	122	2	0.37180949269	139	1	0.0590343864278	0.43084387911780003
2R	AGAP012965	415	2	0.0356832739214	645	1	0.383565644822	0.4192489187434
2R	AGAP004541	157	1	0.205230567782	227	1	0.198385385013	0.40361595279499995
2R	AGAP004273	644	6	0.294969377673	888	3	0.0921743426332	0.38714372030620003
X	AGAP001069	51	1	0.113510209947	49	1	0.253133345102	0.366643555049
2R	AGAP003924	390	2	0.000350435021078	625	1	0.35950968845	0.359860123471078
X	AGAP000970	37	1	0.221675883985	68	1	0.13661995113	0.35829583511499996
2R	AGAP003937	155	1	0.208970044726	185	1	0.14555715982	0.354527204546
2R	AGAP004066	2060	13	0.0265623144484	2426	8	0.326660789164	0.3532231036124
X	AGAP000915	940	8	0.254822662434	894	4	0.0924406290384	0.3472632914724
2R	AGAP013144	184	2	0.111359450519	397	3	0.225504859111	0.33686430962999997
2R	AGAP004209	345	3	0.0696875108558	543	1	0.259954515624	0.3296420264798
2R	AGAP002916	285	2	0.0939899505396	396	3	0.227539203745	0.3215291542846
2L	AGAP006277	564	2	0.253748061739	612	2	0.0542662669288	0.3080143286678
2R	AGAP002807	326	1	0.165090922466	447	1	0.141403442342	0.30649436480799996
2R	AGAP002908	129	1	0.144908384797	191	1	0.156191248219	0.30109963301599996
3R	AGAP009202	49	1	0.125905005855	61	1	0.172692461041	0.298597466896
2L	AGAP006528	322	1	0.157984208464	445	1	0.138910390708	0.296894599172
2R	AGAP003968	42	1	0.176472163344	73	1	0.114289183415	0.290761346759
2R	AGAP002133	44	1	0.160724562295	71	1	0.122921123574	0.283645685869
2R	AGAP004430	121	1	0.124257799218	192	1	0.1579513929	0.282209192118
2L	AGAP006428	158	1	0.201348284798	144	1	0.0689424771656	0.27029076196359997
2R	AGAP004088	160	1	0.193721584142	293	1	0.0599786801979	0.2537002643399
X	AGAP000807	298	1	0.115185719469	441	1	0.133921512093	0.249107231562
2L	AGAP004827	355	2	0.0540851912195	422	3	0.177914337591	0.2319995288105
3L	AGAP011479	368	2	0.0325229006841	489	1	0.193539918983	0.22606281966709998
2L	AGAP007263	47	1	0.139126568569	80	1	0.0868083341797	0.22593490274869998
2L	AGAP007049	179	1	0.129367979667	277	1	0.0877118201715	0.2170797998385
2R	AGAP004000	472	4	0.101715663682	672	2	0.114947715953	0.216663379635
2R	AGAP001775	99	1	0.0645203440749	187	1	0.149116018632	0.2136363627069
2R	AGAP002830	149	1	0.194554138496	327	1	0.00982006014675	0.20437419864275
2R	AGAP003944	250	1	0.0288528009054	469	1	0.168765199289	0.19761800019439998
2R	AGAP012980	359	3	0.0452345376421	701	2	0.144606843435	0.1898413810771
2R	AGAP002226	1002	8	0.168302010841	1856	8	0.0206244676078	0.1889264784488
2L	AGAP005986	72	1	0.0175867656104	62	1	0.167141862634	0.1847286282444
X	AGAP000741	178	1	0.132428412346	117	1	0.0135505621559	0.1459789745019
X	AGAP000971	60	1	0.06598211237	83	1	0.0761638624476	0.1421459748176
2R	AGAP001410	414	2	0.0342600317005	661	2	0.103748743227	0.13800877492750002
2R	AGAP003886	280	1	0.0829165494326	370	1	0.0447940989283	0.12771064836090001
2R	AGAP004288	345	2	0.0718900323711	610	2	0.0522623162658	0.1241523486369
2R	AGAP004341	509	4	0.0452026896454	930	5	0.0570721450447	0.1022748346901
2L	AGAP005467	356	2	0.0523649052931	527	2	0.0316390245036	0.08400392979669999
2R	AGAP002836	205	1	0.0598826015943	317	1	0.0234812887864	0.0833638903807
2L	AGAP007111	59	1	0.0706964354862	112	1	0.00272132507486	0.07341776056106
2R	AGAP004224	76	1	0.00414762329791	125	1	0.0304752071611	0.03462283045901
X	AGAP000884	78	1	0.0021797805687	98	1	0.0308105461415	0.0329903267102
