chrom	gene	segreg_g	pri_der_fix_g	score_g
2R	AGAP003400	1951	1	1.2066182203
2R	AGAP001683	17157	19	5.38022971271
2R	AGAP001674	3209	1	2.15514536131
2R	AGAP002186	8876	2	5.78617596965
2R	AGAP004067	39	1	0.538233833601
2R	AGAP004169	4896	1	3.38556135775
2R	AGAP002638	211	1	0.0758284341241
2R	AGAP002790	5902	1	4.10733120782
2R	AGAP004052	3723	1	2.53358618399
2R	AGAP003349	963	1	0.417559968317
2R	AGAP002883	846	1	0.319168724765
2R	AGAP002152	1078	1	0.512938530434
2R	AGAP013517	17	1	1.2106564587
2R	AGAP002232	939	4	0.123677711274
2R	AGAP004050	3999	1	2.73533502543
2R	AGAP004251	1970	1	1.22128440839
2R	AGAP004249	219	1	0.086655437598
2R	AGAP001824	10497	12	3.37026728534
2L	AGAP004914	50	1	0.404002113467
2L	AGAP004827	845	3	0.0349818736867
2L	AGAP005165	7803	5	3.87219936389
2L	AGAP004902	1757	11	1.43665277299
2L	AGAP005170	3491	1	2.36324832961
2L	AGAP006634	19773	1	13.7886692343
2L	AGAP005073	104	2	1.3691241597
X	AGAP001082	186	2	0.628143764704
X	AGAP000998	2678	6	0.289222152658
X	AGAP001076	78	10	67.4529169256
X	AGAP000969	1362	4	0.0392531926152
X	AGAP001031	20	1	1.04451282125
X	AGAP000950	58	2	2.60552315992
X	AGAP000949	47	4	16.1348914193
X	AGAP001039	93	2	1.55973422607
X	AGAP001048	460	2	0.0151250353272
X	AGAP000937	20	1	1.04451282125
X	AGAP001092	20	2	7.2993484659
X	AGAP001043	487	9	7.5150428041
X	AGAP001042	9	2	14.5339980673
X	AGAP001032	101	2	1.41725048175
X	AGAP001044	24	1	0.880696553589
X	AGAP001045	34	3	11.5792612078
X	AGAP000981	157	3	2.31865787515
X	AGAP001038	25	1	0.846972102628
X	AGAP000829	322	1	0.203061479037
X	AGAP000996	132	3	2.84766806197
X	AGAP001070	352	5	2.84466118155
X	AGAP001004	116	4	6.43656638118
X	AGAP000819	38	2	3.98622367513
X	AGAP001064	93	1	0.151836876479
X	AGAP000975	34	5	35.0817572797
X	AGAP000903	282	1	0.167065565415
X	AGAP000943	605	4	0.601572137047
X	AGAP000915	3325	7	0.435492076803
X	AGAP000995	41	1	0.509308089751
X	AGAP001027	245	4	2.6746533473
X	AGAP000935	79	1	0.208756891842
X	AGAP000906	413	3	0.529733082736
X	AGAP001036	20	2	7.2993484659
X	AGAP001023	281	19	70.5842294148
X	AGAP001022	283	2	0.283186189847
X	AGAP013136	67	2	2.23918780953
X	AGAP000833	179	3	1.97129842822
X	AGAP000945	288	2	0.27135540953
X	AGAP001069	190	1	0.0465779899203
X	AGAP000941	333	2	0.18002771289
X	AGAP000984	230	4	2.90029076373
X	AGAP000938	578	4	0.666572285718
X	AGAP001050	30	4	24.5115418729
X	AGAP000955	368	1	0.126098876543
X	AGAP001025	101	1	0.125133374565
X	AGAP000970	183	1	0.0365327651351
X	AGAP013341	33	4	22.4765841881
X	AGAP001041	17	3	21.64108628
X	AGAP000948	26	1	0.815519184456
X	AGAP000934	70	2	2.13677570752
X	AGAP001030	39	3	10.1621365399
X	AGAP013317	27	2	5.53092853651
X	AGAP013021	582	5	1.29726559896
X	AGAP001033	35	3	11.2662589329
X	AGAP001090	66	3	6.03484244906
X	AGAP000939	194	1	0.0522486634113
X	AGAP001053	269	7	8.79548135546
X	AGAP001029	87	4	8.73232141775
X	AGAP000932	598	4	0.617833148435
X	AGAP001084	287	4	2.16615272328
X	AGAP001083	25	3	15.3932646501
X	AGAP001047	45	3	8.84823444318
X	AGAP001026	39	4	19.2554122217
X	AGAP001028	65	2	2.31237121735
X	AGAP000982	207	3	1.63265515406
X	AGAP000973	448	2	0.0268323416315
X	AGAP001093	242	3	1.31642298097
X	AGAP001018	28	2	5.34468062596
X	AGAP000931	68	2	2.20411015469
X	AGAP001052	896	5	0.494942671863
X	AGAP000826	180	1	0.0321783232048
X	AGAP000986	175	1	0.0248521000885
X	AGAP001068	96	4	7.87854574963
X	AGAP001015	1059	4	0.0329200395295
X	AGAP000979	87	2	1.68262218746
X	AGAP000974	904	11	5.11299846454
X	AGAP001051	7	2	17.7271161896
X	AGAP000835	123	1	0.0664050943628
X	AGAP013126	4	1	3.96829315671
X	AGAP000940	583	5	1.29324552601
X	AGAP001034	30	2	5.00649924533
X	AGAP001061	877	9	3.19416088212
X	AGAP001037	30	2	5.00649924533
X	AGAP000831	31	1	0.685137697159
X	AGAP000834	303	1	0.192317087204
X	AGAP000958	438	10	10.9414597845
X	AGAP000983	110	4	6.81646996969
X	AGAP000994	93	1	0.151836876479
X	AGAP001091	131	6	13.9108187065
X	AGAP001035	109	5	11.3266754184
X	AGAP000832	77	1	0.218239225817
X	AGAP001073	611	1	0.116892685856
X	AGAP013093	31	2	4.85249972478
X	AGAP000898	485	3	0.363404651467
X	AGAP000893	513	1	0.0307148297205
X	AGAP000962	1984	12	1.42436273151
X	AGAP000847	3140	4	1.04847209649
X	AGAP000837	242	6	7.03012953991
X	AGAP000978	41	2	3.69957219649
X	AGAP001094	149	2	0.867878879754
