chrom	gene	segreg_c	pri_der_fix_c	score_c	segreg_g	pri_der_fix_g	score_g	score_tot
X	AGAP001038	19	2	6.91186500379	27	1	0.697729929245	7.609594933035
2R	AGAP002790	4148	2	2.76073948436	5981	1	4.69058620119	7.4513256855500005
X	AGAP001082	156	5	6.85123769202	190	2	0.500045745909	7.351283437929
X	AGAP001068	88	1	0.136356727117	102	4	6.49429145686	6.630648183977
X	AGAP013317	14	1	1.30718597689	26	2	5.09614637805	6.40333235494
2R	AGAP004050	4763	2	3.24724325716	3900	1	3.01418082862	6.26142408578
X	AGAP000983	85	1	0.147645569494	110	4	5.98320084447	6.130846413964
3R	AGAP010184	5100	3	3.12313120787	4542	3	2.73930320325	5.862434411120001
2R	AGAP004052	4573	3	2.71337616026	3789	1	2.92362732711	5.63700348737
X	AGAP000837	145	1	0.0032597945644	259	6	5.61282030641	5.6160801009744
X	AGAP000974	859	7	1.35187267912	913	11	4.17597936614	5.5278520452599995
X	AGAP001018	27	1	0.708528905606	28	2	4.75133205028	5.4598609558860005
2L	AGAP005073	162	4	3.92580374456	94	2	1.3411727221	5.26697646666
X	AGAP000996	114	3	2.99261279024	143	3	2.24909914008	5.241711930319999
X	AGAP000934	43	2	3.17569283782	66	2	2.0014916646	5.177184502419999
X	AGAP013093	28	1	0.683076483634	30	2	4.44880969846	5.131886182094
3R	AGAP010290	173	3	1.80554990361	186	4	3.26157720362	5.06712710723
3R	AGAP010294	92	2	1.40073265877	95	3	3.60931541409	5.01004807286
2R	AGAP001824	7754	17	1.1397789514	10455	13	3.84548011249	4.98525906389
2R	AGAP001690	2802	2	1.68539394416	4164	1	3.22896823257	4.91436217673
X	AGAP001025	81	3	4.36493316707	107	1	0.0726440153817	4.4375771824517
2R	AGAP003997	3258	24	3.38554071711	3200	6	0.804487764895	4.190028482005
X	AGAP013021	422	6	2.99349965658	625	5	0.898121213438	3.891620870018
X	AGAP000982	134	3	2.47796379537	207	3	1.39005373263	3.868017528
X	AGAP000995	43	2	3.17569283782	47	1	0.376509245795	3.5522020836149997
3R	AGAP009934	44	2	3.10320118234	50	1	0.347698149748	3.450899332088
X	AGAP000978	51	1	0.345534304053	44	2	3.05473855996	3.400272864013
3R	AGAP010295	502	3	0.24232785358	541	7	2.97932865354	3.22165650712
X	AGAP001022	212	4	2.82280344576	268	2	0.241713551132	3.064516996892
X	AGAP001027	173	2	0.599107427951	236	4	2.40599996865	3.0051073966010002
X	AGAP000940	435	5	1.78770836103	596	5	0.991004058368	2.778712419398
X	AGAP000950	55	1	0.312040479546	59	2	2.25681522127	2.568855700816
3R	AGAP010286	378	3	0.514622503108	398	5	2.0058579444	2.520480447508
2R	AGAP001674	2322	7	0.0749101045518	3196	1	2.43697737585	2.5118874804018003
X	AGAP013136	47	1	0.38371280506	67	2	1.96909593922	2.35280874428
X	AGAP000938	547	5	1.20554987924	579	5	1.05003848738	2.2555883666199996
X	AGAP000935	66	2	2.03507989018	75	1	0.185134512032	2.220214402212
2R	AGAP013186	105	1	0.0823439142057	63	2	2.10442694533	2.1867708595357
3R	AGAP010293	69	2	1.93920879704	81	1	0.158699151503	2.097907948543
X	AGAP000931	57	1	0.29676736808	74	2	1.7653270259	2.06209439398
2R	AGAP004273	1635	1	1.09808988487	1421	1	0.930309874036	2.028399758906
X	AGAP000847	1663	10	0.895247655047	3258	5	1.10361465686	1.9988623119070001
X	AGAP001084	254	2	0.287217868575	309	4	1.64669726309	1.933915131665
X	AGAP000941	301	4	1.75113246328	316	2	0.143052598292	1.8941850615720002
X	AGAP001039	73	1	0.200091284126	90	2	1.41187381951	1.611965103636
X	AGAP000994	94	2	1.36562503388	87	1	0.135235354987	1.500860388867
2R	AGAP013121	393	4	1.14971783343	268	2	0.241713551132	1.3914313845619999
X	AGAP001015	698	6	1.29201209009	1039	4	0.0324186528935	1.3244307429835
X	AGAP000998	2596	14	0.843947637173	2682	6	0.469704322959	1.313651960132
X	AGAP001093	245	1	0.15398407844	247	3	1.07331158032	1.22729565876
3R	AGAP009805	1265	1	0.775036123759	879	1	0.438125388926	1.213161512685
X	AGAP000932	509	4	0.70370009159	587	4	0.486701454876	1.190401546466
X	AGAP000962	1574	7	0.17636917364	2007	12	0.989304109987	1.165673283627
3L	AGAP010788	1306	2	0.468704230489	1144	1	0.682103622391	1.1508078528799999
X	AGAP000943	578	3	0.134674371857	594	5	0.997764317293	1.13243868915
X	AGAP000945	276	3	0.922312068958	306	2	0.161185127877	1.083497196835
X	AGAP001052	688	5	0.751015555576	929	5	0.296414005068	1.0474295606439998
3R	AGAP007761	727	4	0.263045828982	922	6	0.660790224954	0.923836053936
X	AGAP000906	365	3	0.55401137085	433	3	0.359974631904	0.9139860027539999
X	AGAP001094	130	1	0.02399332751	148	2	0.742248419142	0.7662417466520001
2R	AGAP003519	731	2	0.00875435039829	1207	1	0.739092536671	0.74784688706929
X	AGAP000915	2731	8	0.125577685952	3266	7	0.620271113641	0.745848799593
3R	AGAP010147	844	5	0.436329738312	708	1	0.276262539572	0.7125922778839999
2L	AGAP004902	2250	6	0.194741051902	1744	9	0.453691635124	0.648432687026
X	AGAP000969	1131	4	0.0834511082263	1400	2	0.562063665041	0.6455147732673
3R	AGAP007734	188	2	0.522516415026	183	1	0.068579222708	0.591095637734
X	AGAP000832	40	1	0.46559672172	90	1	0.124450584309	0.590047306029
2R	AGAP003349	740	3	0.017252720037	964	1	0.517205747462	0.534458467499
3R	AGAP010297	61	1	0.26872592726	65	1	0.237765142544	0.5064910698039999
X	AGAP000898	300	2	0.181338041809	502	3	0.230144961141	0.41148300295
2L	AGAP004827	1101	2	0.301908662714	829	3	0.0960016819569	0.39791034467090003
X	AGAP000835	68	1	0.2262806702	129	1	0.0221653897146	0.2484460599146
X	AGAP001073	484	2	0.0527108369874	623	1	0.194272973724	0.2469838107114
X	AGAP000973	334	1	0.1233574922	467	2	0.0428803572015	0.1662378494015
X	AGAP001069	150	1	0.0116637734585	221	1	0.125170774279	0.1368345477375
X	AGAP000893	386	1	0.0502672959824	506	1	0.0796831780237	0.1299504740061
3L	AGAP010781	487	1	0.0539439997514	366	1	0.0688277134038	0.1227717131552
2R	AGAP003252	117	1	0.0518927363064	134	1	0.0125345093702	0.06442724567659999
X	AGAP001048	418	1	0.0140776335513	468	2	0.0438737759347	0.057951409486
2R	AGAP002232	695	3	0.0176523004813	939	4	0.03532812378	0.052980424261299994
