Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR013032:EGF-like, conserved site	4	3.10077519379845	0.0368585121041196	AGAP001015, AGAP002186, AGAP000974, AGAP005165	118	65	10373	5.409647979139504	0.99995237071623	0.8633609574584655	38.88085284211458
GOTERM_MF_DIRECT	GO:0008047~enzyme activator activity	2	1.550387596899225	0.04180019188457074	AGAP001035, AGAP001082	76	4	7065	46.48026315789473	0.9745772315751492	0.9745772315751492	36.899150312399165
GOTERM_MF_DIRECT	GO:0004672~protein kinase activity	4	3.10077519379845	0.042103939096978515	AGAP001091, AGAP009934, AGAP001683, AGAP000847	76	73	7065	5.093727469358327	0.9752610472413741	0.8427137871311476	37.11451280917779
INTERPRO	IPR003598:Immunoglobulin subtype 2	5	3.875968992248062	0.047796976668987044	AGAP010184, AGAP001048, AGAP001674, AGAP001824, AGAP004902	118	121	10373	3.6325115562403694	0.9999976914868262	0.8850377135206227	47.380740109776845
INTERPRO	IPR000742:Epidermal growth factor-like domain	4	3.10077519379845	0.05786500224769711	AGAP001015, AGAP002186, AGAP000974, AGAP005165	118	78	10373	4.508039982616253	0.9999998619675196	0.8952877895641296	54.22550769860281
SMART	SM00408:IGc2	5	3.875968992248062	0.061178404412757355	AGAP010184, AGAP001048, AGAP001674, AGAP001824, AGAP004902	61	121	4864	3.2949464842162306	0.9917526694647975	0.9091851854860531	48.53742769195202
GOTERM_CC_DIRECT	GO:0016021~integral component of membrane	36	27.906976744186046	0.06252347071877563	AGAP002790, AGAP001076, AGAP000945, AGAP001824, AGAP003349, AGAP000982, AGAP000958, AGAP001092, AGAP001027, AGAP010184, AGAP001674, AGAP003252, AGAP004902, AGAP001044, AGAP000837, AGAP010788, AGAP001022, AGAP001004, AGAP001070, AGAP001041, AGAP001069, AGAP001084, AGAP000974, AGAP009805, AGAP013186, AGAP000998, AGAP000832, AGAP001015, AGAP013136, AGAP001039, AGAP002186, AGAP001038, AGAP010295, AGAP007732, AGAP010293, AGAP001030	80	2260	6384	1.2711504424778761	0.9377273494788368	0.9377273494788368	45.164220860750746
INTERPRO	IPR003599:Immunoglobulin subtype	5	3.875968992248062	0.06337473485691877	AGAP010184, AGAP001048, AGAP001674, AGAP001824, AGAP004902	118	133	10373	3.30476615266981	0.9999999708287416	0.8856807423470846	57.61337106781712
INTERPRO	IPR016024:Armadillo-type fold	6	4.651162790697675	0.06477634874161081	AGAP001091, AGAP010308, AGAP001035, AGAP010313, AGAP001032, AGAP001043	118	191	10373	2.7614695181471296	0.9999999803843567	0.8608053618677826	58.43743809710479
INTERPRO	IPR001881:EGF-like calcium-binding	3	2.3255813953488373	0.07134403724291452	AGAP001015, AGAP002186, AGAP005165	118	39	10373	6.762059973924381	0.9999999969693507	0.8593455205393534	62.10538575467499
GOTERM_BP_DIRECT	GO:0030182~neuron differentiation	2	1.550387596899225	0.0788564979179115	AGAP010290, AGAP004052	54	8	5192	24.037037037037035	0.9996534647590103	0.9813845429551202	59.60492621627753
SMART	SM00409:IG	5	3.875968992248062	0.08058952210426648	AGAP010184, AGAP001048, AGAP001674, AGAP001824, AGAP004902	61	133	4864	2.9976580796252925	0.9983145413243105	0.8809929464038035	58.69432647749875
SMART	SM00179:EGF_CA	3	2.3255813953488373	0.08291776599825602	AGAP001015, AGAP002186, AGAP005165	61	39	4864	6.133669609079445	0.9986099535967372	0.8069110928208365	59.781848603094524

