chrom	gene	segreg_c	pri_der_fix_c	score_c
2R	AGAP003944	245	1	0.0380104606255
2R	AGAP002591	2215	2	2.85335645055
2R	AGAP003305	1681	2	2.03377594176
2R	AGAP003088	62	1	0.0458749349623
2R	AGAP001658	222	3	0.386990721719
2R	AGAP004248	51	1	0.10114819206
2R	AGAP013144	179	2	0.104576844878
2R	AGAP003235	493	1	0.489470471
2R	AGAP004425	40	1	0.17914399417
2R	AGAP003256	35	1	0.227042525757
2R	AGAP001766	28	1	0.316366674802
2R	AGAP003484	277	1	0.097964163462
2R	AGAP002557	602	1	0.679261324919
2R	AGAP002960	43	1	0.154755444624
2R	AGAP013391	223	2	0.00127627816737
2R	AGAP003629	181	1	0.102002348625
2R	AGAP002828	172	6	4.15356221918
2R	AGAP001677	71	3	2.38779783713
2R	AGAP004067	15	5	32.4580793277
2R	AGAP004306	20	4	16.2872529205
2R	AGAP003979	92	3	1.73532005239
2R	AGAP003388	121	1	0.13722748222
2R	AGAP002630	36	2	1.89278032765
2R	AGAP002822	102	3	1.51483269925
2R	AGAP003931	727	6	0.110325562365
2R	AGAP004451	41	1	0.170699156304
2R	AGAP001827	99	3	1.57652271155
2R	AGAP004052	1750	4	1.44617098989
2R	AGAP003218	114	1	0.118261609458
2R	AGAP002890	81	1	0.0217253604102
2R	AGAP003568	561	1	0.608375714456
2R	AGAP002908	128	1	0.155782080948
2R	AGAP004369	1209	1	1.68314565223
2R	AGAP002877	41	2	1.64316668775
2R	AGAP001683	4332	37	0.771141188342
2R	AGAP004230	481	23	24.7359220784
2R	AGAP001816	8	2	7.61002236856
2R	AGAP002858	1610	8	0.307544580954
2R	AGAP003906	120	2	0.353780471558
2R	AGAP004244	617	7	0.606631603002
2R	AGAP002116	1556	3	1.48501194504
2R	AGAP002892	96	1	0.0672706708346
2R	AGAP004450	567	1	0.618785124476
2R	AGAP002149	193	1	0.0696025413162
2R	AGAP002915	2161	21	0.934327593232
2R	AGAP003566	33	2	2.07530577514
2R	AGAP002741	2456	1	3.63078798304
2R	AGAP004066	2050	12	0.127037793106
2R	AGAP003965	1655	1	2.39036579846
2R	AGAP004275	32	4	10.6253506445
2R	AGAP003398	142	1	0.191805445502
2R	AGAP004303	82	3	2.00659012891
2R	AGAP004643	18	7	53.8654341566
2R	AGAP002807	324	1	0.185152434399
2R	AGAP003481	28	1	0.316366674802
2R	AGAP013121	127	24	110.163784486
2R	AGAP013374	69	3	2.46936295798
2R	AGAP004106	2505	16	0.0213379527531
2R	AGAP004640	86	2	0.637990368497
2R	AGAP004639	6	1	1.45664811525
2R	AGAP003893	941	2	0.880759556457
2R	AGAP003924	389	2	0.0214904443333
2R	AGAP004341	503	4	0.0253186130854
2R	AGAP004039	912	17	4.47589326204
2R	AGAP002895	43	1	0.154755444624
2R	AGAP002674	249	1	0.0455266143494
2R	AGAP003457	736	2	0.558033118331
2R	AGAP013045	17	1	0.568701253467
2R	AGAP003993	168	1	0.142096827271
2R	AGAP003355	458	1	0.427546445428
2R	AGAP004033	547	7	0.84942257633
2R	AGAP004213	45	1	0.139948163071
2R	AGAP013482	90	3	1.78499511669
2R	AGAP001609	586	1	0.651666101361
2R	AGAP001780	266	1	0.0774031784535
2R	AGAP004088	157	1	0.180950072165
2R	AGAP002194	293	2	0.129955749608
2R	AGAP004443	797	1	1.00967820008
2R	AGAP004028	1068	3	0.758443066991
2R	AGAP004361	146	2	0.220663802288
2R	AGAP002859	1667	6	0.780389026058
2R	AGAP004283	111	2	0.413265228806
2R	AGAP002325	969	2	0.92478223546
2R	AGAP004528	15	1	0.646068384872
2R	AGAP002634	177	1	0.11373885168
2R	AGAP002411	1262	1	1.76812201741
2R	AGAP004344	395	7	1.72078799396
2R	AGAP003895	96	1	0.0672706708346
2R	AGAP004577	309	1	0.157448493099
2R	AGAP003933	46	2	1.44359936726
2R	AGAP003479	133	8	10.9404816684
2R	AGAP002614	151	1	0.204400985692
2R	AGAP004362	228	1	0.00601326562328
2R	AGAP002841	21	1	0.451783430274
2R	AGAP002232	230	5	1.73289529739
2R	AGAP001962	728	1	0.893890102398
2R	AGAP002907	62	2	1.0067578952
2R	AGAP001716	126	1	0.150520397087
2R	AGAP001684	106	2	0.450340395179
2R	AGAP002817	378	1	0.283913075687
2R	AGAP002787	230	1	0.0097814311601
2R	AGAP001660	862	2	0.756441664752
2R	AGAP002424	2134	1	3.13545526494
2R	AGAP002924	1153	4	0.602809207221
2R	AGAP004274	19	3	9.16918158143
2R	AGAP003579	918	3	0.539470554948
2R	AGAP002888	1176	2	1.24935084788
2R	AGAP003513	304	2	0.129337142752
2R	AGAP002790	1992	7	0.949313994146
2R	AGAP002735	284	1	0.111019377505
2R	AGAP003966	248	1	0.0436480925772
2R	AGAP003156	121	1	0.13722748222
2R	AGAP003873	395	1	0.314694018726
2R	AGAP003623	679	1	0.810953047718
2R	AGAP004249	76	2	0.765542300271
2R	AGAP003945	968	1	1.29242102687
2R	AGAP004000	458	4	0.0936247244817
2R	AGAP001690	813	10	1.0719346165
2R	AGAP004572	282	1	0.107291691037
2R	AGAP002119	930	2	0.863458595348
2R	AGAP013324	258	1	0.0624167381641
2R	AGAP003918	64	1	0.0374477498329
2R	AGAP002296	373	1	0.274832047826
2R	AGAP013069	96	1	0.0672706708346
2R	AGAP002898	511	2	0.206204157244
2R	AGAP004026	384	2	0.0141333313135
2R	AGAP002186	2597	9	1.21938520953
2R	AGAP004367	172	1	0.129143398903
2R	AGAP004215	231	1	0.0116651932719
2R	AGAP004063	13	1	0.742801435272
2R	AGAP002226	978	8	0.147925567753
2R	AGAP013186	43	1	0.154755444624
2R	AGAP004068	179	2	0.104576844878
2R	AGAP004209	343	3	0.0483291670331
2R	AGAP002573	1851	4	1.59239932677
2R	AGAP004348	100	4	3.14925860608
2R	AGAP004434	51	2	1.28015498325
2R	AGAP003963	120	1	0.134544216816
2R	AGAP002131	36	1	0.216613465386
2R	AGAP004017	36	1	0.216613465386
2R	AGAP002635	43	1	0.154755444624
2R	AGAP003982	44	2	1.51844604216
2R	AGAP004096	507	5	0.2585933823
2R	AGAP012951	92	3	1.73532005239
2R	AGAP004119	554	2	0.272812726261
2R	AGAP003972	116	1	0.123724862765
2R	AGAP004494	1461	6	0.525920211566
2R	AGAP002736	130	1	0.161013348184
2R	AGAP004169	2434	3	2.80309000067
2R	AGAP004345	118	1	0.129152049888
2R	AGAP002645	351	2	0.0366302289949
2R	AGAP002773	2235	1	3.29122540072
2R	AGAP002829	80	4	4.09967861264
2R	AGAP003115	890	2	0.800519547003
2R	AGAP004117	933	9	0.431147875148
2R	AGAP002900	300	1	0.140770283714
2R	AGAP002942	2976	2	4.00890919085
2R	AGAP004587	35	1	0.227042525757
2R	AGAP004095	43	1	0.154755444624
2R	AGAP003871	1517	4	1.11167474906
2R	AGAP002845	67	1	0.0255463375511
2R	AGAP001866	1563	1	2.24577218899
2R	AGAP004613	122	1	0.139902364596
2R	AGAP002306	32	1	0.26143770545
2R	AGAP002026	13	1	0.742801435272
2R	AGAP012980	354	3	0.0296239183228
2R	AGAP004071	648	3	0.160460848265
2R	AGAP002879	313	5	0.999850115179
2R	AGAP013145	3284	21	0.034807100736
2R	AGAP004297	36	1	0.216613465386
2R	AGAP003338	29	1	0.301484410575
2R	AGAP004397	420	1	0.359700778347
2R	AGAP002578	618	1	0.70677370007
2R	AGAP004092	512	8	1.53100380548
2R	AGAP013508	114	1	0.118261609458
2R	AGAP003400	520	1	0.53689496188
2R	AGAP003882	158	1	0.177205808113
2R	AGAP004359	18	1	0.535451892987
2R	AGAP004394	58	1	0.0640697925002
2R	AGAP004034	146	1	0.201859425928
2R	AGAP002677	3567	6	3.40183335601
2R	AGAP013123	59	1	0.0593412274451
2R	AGAP002802	459	1	0.429323027908
2R	AGAP004035	197	2	0.0569358143326
2R	AGAP004372	454	1	0.420435689601
2R	AGAP003475	235	1	0.0191978977937
2R	AGAP003980	43	1	0.154755444624
2R	AGAP002342	283	3	0.178404124672
2R	AGAP004642	146	1	0.201859425928
2R	AGAP002909	116	2	0.379160743023
2R	AGAP004310	218	1	0.0132289156553
2R	AGAP004107	117	3	1.25190998605
2R	AGAP004234	99	1	0.0760183278534
2R	AGAP003935	28	3	6.39281398663
2R	AGAP001751	2213	8	0.986194135549
2R	AGAP004417	34	1	0.237962456528
2R	AGAP003805	46	2	1.44359936726
2R	AGAP004154	2294	1	3.38204251601
2R	AGAP001820	134	2	0.276109123276
2R	AGAP004657	13	2	5.06131780607
2R	AGAP004090	224	1	0.00153074246624
2R	AGAP004446	200	1	0.0524377622096
2R	AGAP002896	511	3	0.016391527049
2R	AGAP004430	121	1	0.13722748222
2R	AGAP004140	111	1	0.109996699364
2R	AGAP003519	279	6	2.06125165172
2R	AGAP002906	58	1	0.0640697925002
2R	AGAP004078	148	1	0.206849893894
2R	AGAP002133	43	1	0.154755444624
2R	AGAP003986	818	6	0.00343823332883
2R	AGAP004302	108	1	0.101644260397
2R	AGAP002824	687	26	20.66570447
2R	AGAP004453	1515	5	0.831806737027
2R	AGAP001410	403	2	0.0422078741952
2R	AGAP004233	507	1	0.514097202126
2R	AGAP004251	736	4	0.0700724938622
2R	AGAP003968	41	1	0.170699156304
2R	AGAP004311	69	2	0.874897710227
2R	AGAP002711	732	1	0.900633287873
2L	AGAP005986	71	1	0.0109052023818
2L	AGAP005091	1227	1	1.71203931071
2L	AGAP005391	107	1	0.0988399479958
2L	AGAP004774	151	1	0.204400985692
2L	AGAP004783	1044	1	1.41648863818
2L	AGAP006478	759	1	0.946048072017
2L	AGAP005799	2376	2	3.09888256521
2L	AGAP005536	998	2	0.970350632126
2L	AGAP005165	2572	9	1.18901264624
2L	AGAP004942	969	2	0.92478223546
2L	AGAP006638	134	1	0.171387843801
2L	AGAP005715	922	1	1.21688470017
2L	AGAP005711	348	1	0.229233748723
2L	AGAP007247	3041	1	4.52283316231
2L	AGAP006282	849	1	1.09624638025
2L	AGAP005662	73	2	0.810045864914
2L	AGAP006748	35	1	0.227042525757
2L	AGAP005162	633	1	0.732493805935
2L	AGAP004848	57	2	1.11901627805
2L	AGAP004847	48	1	0.119591112494
2L	AGAP005291	192	4	1.27026991311
2L	AGAP005668	31	1	0.274086486609
2L	AGAP005169	51	5	10.9182717032
2L	AGAP005386	31	1	0.274086486609
2L	AGAP005181	260	3	0.245224777332
2L	AGAP006277	555	1	0.597953567841
2L	AGAP005219	529	1	0.552639601282
2L	AGAP006428	156	1	0.18473983832
2L	AGAP005170	980	6	0.00680157958381
2L	AGAP005096	1142	1	1.57527411143
2L	AGAP005332	1374	1	1.94676709898
2L	AGAP005964	1408	1	2.00077034705
2L	AGAP005207	1640	1	2.3668291986
2L	AGAP005449	1976	3	2.11548681047
2L	AGAP004827	354	2	0.0316219554855
2L	AGAP007031	1020	2	1.00490035738
2L	AGAP005831	106	4	2.93110032687
2L	AGAP004940	517	2	0.215466787733
2L	AGAP006347	2980	1	4.43020262497
2L	AGAP004846	633	1	0.732493805935
2L	AGAP006611	35	1	0.227042525757
2L	AGAP005490	358	1	0.247511954441
2L	AGAP005245	2441	4	2.45481714106
2L	AGAP005465	977	1	1.30715937221
2L	AGAP006634	5437	3	7.27648827548
2L	AGAP005171	122	6	6.35268016956
2L	AGAP007112	53	1	0.0897740351613
2L	AGAP007049	177	1	0.11373885168
2L	AGAP007133	2292	1	3.37896601973
2L	AGAP006683	28	1	0.316366674802
2L	AGAP004747	34	1	0.237962456528
2L	AGAP006656	6821	5	8.50957955981
2L	AGAP005072	142	4	1.99738102833
2L	AGAP007263	43	1	0.154755444624
2L	AGAP004724	69	1	0.0180614201209
2L	AGAP007095	124	1	0.145227451844
2L	AGAP007111	59	1	0.0593412274451
2L	AGAP005182	16	3	10.6718615807
2L	AGAP005926	187	3	0.569092100646
2L	AGAP005467	350	2	0.0383207776141
2L	AGAP005156	2407	2	3.14608566039
2L	AGAP007657	447	1	0.407974687805
2L	AGAP007103	2497	3	2.89758630593
2L	AGAP006444	613	1	0.698184810674
2L	AGAP004915	395	5	0.588652070185
X	AGAP000984	75	1	0.00252708746276
X	AGAP001026	19	6	38.5232544454
X	AGAP001015	290	9	5.4233454702
X	AGAP001018	14	2	4.73999571101
X	AGAP000931	16	1	0.605371523791
X	AGAP000958	112	7	9.88940503546
X	AGAP001065	13	2	5.06131780607
X	AGAP000977	4	1	1.99091377344
X	AGAP000915	926	7	0.0436276067217
X	AGAP000819	11	1	0.868047859711
X	AGAP013021	144	6	5.20349171561
X	AGAP001025	26	4	12.8934748304
X	AGAP000894	634	1	0.73420603327
X	AGAP001023	57	6	14.4353741539
X	AGAP000937	3	2	15.1499927508
X	AGAP000953	22	1	0.428148085098
X	AGAP001044	7	1	1.28476665542
X	AGAP000983	27	3	6.61989375267
X	AGAP000904	289	2	0.122513851712
X	AGAP000940	161	6	4.5237270097
X	AGAP000952	28	2	2.45730548233
X	AGAP000981	33	8	42.9586702346
X	AGAP000932	149	4	1.86679469182
X	AGAP013181	15	4	20.7421672445
X	AGAP000837	106	2	0.450340395179
X	AGAP001076	44	12	73.5916335543
X	AGAP001038	3	2	15.1499927508
X	AGAP001082	53	5	10.5035087482
X	AGAP000741	177	1	0.11373885168
X	AGAP000934	11	2	5.84917775933
X	AGAP001034	8	3	18.6409740125
X	AGAP013526	8	1	1.1487258852
X	AGAP001037	8	4	33.1796108524
X	AGAP000960	33	1	0.24941281307
X	AGAP000929	159	1	0.173506236385
X	AGAP000995	10	2	6.33973345679
X	AGAP001004	40	2	1.68852473674
X	AGAP000962	514	7	0.990595997754
X	AGAP001092	4	3	29.3983852886
X	AGAP000989	16	2	4.20248065449
X	AGAP000010	19	1	0.505135706198
X	AGAP000973	88	2	0.615698497801
X	AGAP001030	10	1	0.945986478657
X	AGAP001083	11	1	0.868047859711
X	AGAP000994	16	3	10.6718615807
X	AGAP000943	126	4	2.34869424777
X	AGAP000942	18	2	3.77033745644
X	AGAP000783	310	1	0.159299058772
X	AGAP001093	51	2	1.28015498325
X	AGAP000997	8	1	1.1487258852
X	AGAP000999	42	1	0.162576294234
X	AGAP000998	677	14	4.48480262253
X	AGAP000996	22	3	8.02411057491
X	AGAP001010	50	1	0.107101920179
X	AGAP000970	37	1	0.206639693018
X	AGAP001009	9	1	1.03804041235
X	AGAP001091	34	5	16.1511828435
X	AGAP001039	20	1	0.477355294556
X	AGAP000807	295	1	0.131486808491
X	AGAP000933	15	1	0.646068384872
X	AGAP001046	45	1	0.139948163071
X	AGAP001073	112	2	0.406218662828
X	AGAP000788	31	2	2.2146969775
X	AGAP000779	174	1	0.122880022821
X	AGAP000971	60	1	0.0547360400941
X	AGAP013136	18	2	3.77033745644
X	AGAP001070	108	7	10.2972472168
X	AGAP001090	16	4	19.673855205
X	AGAP001045	17	2	3.97530023311
X	AGAP000863	196	1	0.0621009278442
X	AGAP001084	82	2	0.685570632
X	AGAP001036	3	2	15.1499927508
X	AGAP000954	88	1	0.0433800206756
X	AGAP013147	23	1	0.406221153205
X	AGAP000938	141	3	0.943681827467
X	AGAP000912	59	1	0.0593412274451
X	AGAP000988	2	2	18.8943232593
X	AGAP001032	26	4	12.8934748304
X	AGAP013341	9	10	152.763730124
X	AGAP000893	106	11	27.5502285474
X	AGAP001047	5	1	1.68170979308
X	AGAP001027	64	2	0.966382344226
X	AGAP000821	24	1	0.385809843857
X	AGAP001033	2	2	18.8943232593
X	AGAP000888	13	1	0.742801435272
X	AGAP000017	171	1	0.132327540803
X	AGAP001053	86	4	3.77054809505
X	AGAP001061	124	9	15.2845404223
X	AGAP013317	1	1	4.64060962966
X	AGAP000961	40	1	0.17914399417
X	AGAP000957	27	1	0.33214166868
X	AGAP000717	452	1	0.416877643473
X	AGAP001052	332	5	0.885208197903
X	AGAP001028	9	4	30.5858428059
X	AGAP001069	51	1	0.10114819206
X	AGAP000982	36	3	4.99070749573
X	AGAP000941	86	3	1.89090947771
X	AGAP000853	57	1	0.0689273692271
X	AGAP000974	178	11	15.7976327057
X	AGAP000986	35	1	0.227042525757
X	AGAP000978	17	1	0.568701253467
X	AGAP000711	109	1	0.104438384598
X	AGAP000945	71	3	2.38779783713
X	AGAP000810	468	4	0.0770856787992
X	AGAP001050	16	2	4.20248065449
X	AGAP001022	79	3	2.10060680853
X	AGAP001068	21	1	0.451783430274
X	AGAP000770	39	1	0.187932655544
X	AGAP000990	53	3	3.32689943178
X	AGAP000922	179	1	0.107807764392
X	AGAP000898	148	5	3.26879438589
X	AGAP001041	3	1	2.4456762214
X	AGAP013495	147	3	0.881866245186
X	AGAP013093	6	1	1.45664811525
X	AGAP001029	16	4	19.673855205
X	AGAP001040	8	1	1.1487258852
X	AGAP000847	813	9	0.713154868236
X	AGAP013514	9	1	1.03804041235
X	AGAP001021	51	2	1.28015498325
X	AGAP000795	1130	2	1.17737212065
X	AGAP001031	7	3	20.5268173633
X	AGAP000878	13	1	0.742801435272
X	AGAP000969	248	10	8.56672383121
X	AGAP000012	11	1	0.868047859711
X	AGAP001094	29	2	2.37139849479
X	AGAP001043	160	12	21.4597932588
X	AGAP000884	77	1	0.00899674989101
X	AGAP000935	18	2	3.77033745644
X	AGAP001035	23	14	156.43659735
